,Node 1,Node 2,Liquidity
0,1,0,435741881.1656823
1,0,3,276739362.9200998
2,2,0,264658606.91149268
3,4,0,486796313.0352225
4,5,0,642335542.1351523
5,6,0,210578701.8330341
6,9,0,133493178.16071159
7,8,0,172018638.9670492
8,7,0,15764289.896179652
9,1,0,435753022.96057206
10,1,3,3534.399214472714
11,2,1,93673.56540242079
12,4,1,12995.136408367614
13,0,3,276739362.9200998
14,1,3,3534.399214472714
15,4,3,5385.109594937365
16,2,0,264658606.91149268
17,2,1,93673.56540242079
18,2,4,15349.15508401395
19,9,2,4471.124222743374
20,4,0,486796313.0352225
21,4,1,12995.136408367614
22,4,3,5385.109594937365
23,2,4,15349.15508401395
24,6,4,2155.562107750236
25,5,0,642335542.1351523
26,6,0,210578701.8330341
27,6,4,2155.562107750236
28,9,0,133493178.16071159
29,9,2,4471.124222743374
30,8,0,172018638.9670492
31,7,0,15764289.896179652
32,11,11,5276539299.948208
